               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10951,             0.01512,            0.075846,            0.013837,              0.7375,            0.089729,            0.042309,            0.057725,           0.0089855,            0.040244,              0.0955,              0.0005,              0.0005
                   1,              0.0974,            0.016809,            0.068111,            0.013278,              0.7875,            0.077752,            0.034888,            0.051149,           0.0099016,            0.039064,            0.090095,           0.0010946,           0.0010946
                   2,            0.090556,            0.018731,            0.065981,            0.014447,              0.9125,            0.048939,            0.019697,            0.044312,            0.010594,            0.037483,            0.084683,           0.0016832,           0.0016832
                   3,            0.086762,            0.022646,             0.06353,            0.012022,              0.9125,            0.051884,            0.016397,            0.041289,            0.010511,            0.035253,            0.079266,           0.0022658,           0.0022658
                   4,            0.077944,            0.025019,            0.058599,            0.010695,              0.9875,            0.087186,            0.024531,            0.040677,            0.010366,            0.032649,            0.073843,           0.0028426,           0.0028426
                   5,            0.068206,            0.023719,            0.049825,           0.0089725,              0.9875,             0.14952,            0.045305,            0.038607,            0.010291,            0.029511,            0.068413,           0.0034134,           0.0034134
                   6,            0.070563,            0.026306,            0.047985,             0.29295,             0.29767,             0.27882,             0.11577,             0.03397,            0.010346,            0.024917,            0.062978,           0.0039782,           0.0039782
                   7,            0.061633,             0.02148,            0.039967,              0.2465,             0.55889,             0.24803,              0.1175,            0.033542,            0.010099,            0.020954,            0.057537,           0.0045371,           0.0045371
                   8,            0.061335,            0.021135,             0.03517,             0.21717,             0.62272,             0.32088,             0.13759,            0.031374,            0.010431,            0.020616,             0.05209,           0.0050901,           0.0050901
                   9,            0.064468,            0.021442,            0.033606,             0.21435,              0.5625,             0.31457,             0.15613,            0.038911,            0.010019,            0.020715,            0.046637,           0.0056372,           0.0056372
                  10,            0.058399,            0.019274,            0.032046,             0.36148,             0.57662,             0.40492,             0.15975,            0.037856,           0.0098911,            0.020194,            0.041178,           0.0061782,           0.0061782
                  11,            0.062063,            0.017936,            0.032931,             0.34932,              0.4625,             0.42763,             0.17203,             0.03949,           0.0092284,            0.019466,            0.035713,           0.0067134,           0.0067134
                  12,            0.060772,            0.017172,             0.02959,             0.42582,                0.65,             0.50131,             0.25026,             0.03557,           0.0084458,              0.0181,            0.030243,           0.0072426,           0.0072426
                  13,            0.065916,            0.021166,            0.031049,             0.25159,                 0.6,             0.23264,            0.090054,            0.038842,           0.0076534,            0.017651,            0.024766,           0.0077659,           0.0077659
                  14,            0.063061,             0.02087,            0.031277,             0.26695,              0.7625,              0.2629,             0.12263,            0.034583,           0.0074701,            0.017512,            0.019283,           0.0082832,           0.0082832
                  15,            0.061827,            0.018096,            0.030019,             0.17537,             0.52736,             0.16369,             0.05279,            0.040469,           0.0070251,             0.01741,            0.013795,           0.0087946,           0.0087946
                  16,            0.057357,             0.01716,            0.028882,             0.27059,               0.575,             0.33672,             0.13294,            0.031733,           0.0073617,            0.017398,            0.009208,            0.009208,            0.009208
                  17,            0.055481,            0.016236,            0.028601,             0.31951,              0.5875,             0.45106,             0.24389,            0.037981,            0.006958,             0.01701,            0.009208,            0.009208,            0.009208
                  18,            0.059798,            0.016755,            0.030209,             0.32476,              0.6575,             0.44956,              0.2329,            0.034973,           0.0068841,            0.016688,           0.0091585,           0.0091585,           0.0091585
                  19,            0.057849,            0.017703,            0.030041,             0.36426,               0.525,             0.38949,             0.20538,            0.032431,           0.0068713,            0.016309,            0.009109,            0.009109,            0.009109
                  20,             0.05959,            0.016704,            0.026702,             0.41676,                0.65,             0.55547,             0.29137,            0.030956,           0.0068782,            0.015915,           0.0090595,           0.0090595,           0.0090595
                  21,            0.056493,            0.018224,            0.028361,               0.434,               0.525,             0.48017,             0.25222,            0.037768,           0.0065555,            0.015611,             0.00901,             0.00901,             0.00901
                  22,            0.057092,            0.015275,            0.027332,             0.57286,               0.625,             0.63124,             0.35085,            0.029629,           0.0063203,            0.015398,           0.0089605,           0.0089605,           0.0089605
                  23,            0.049829,            0.016013,            0.025243,             0.59366,              0.7625,             0.69974,             0.39036,            0.028633,           0.0058552,            0.015065,            0.008911,            0.008911,            0.008911
                  24,            0.053099,            0.017239,            0.027107,             0.42749,             0.67067,             0.45166,             0.20767,            0.033581,           0.0056365,            0.014847,           0.0088615,           0.0088615,           0.0088615
                  25,             0.04718,            0.017359,             0.02633,             0.37433,             0.81524,             0.45714,             0.20833,            0.031505,           0.0056287,            0.014603,            0.008812,            0.008812,            0.008812
                  26,            0.050331,            0.017134,            0.024771,             0.42509,               0.925,             0.55083,             0.28303,            0.026584,             0.00567,            0.014289,           0.0087625,           0.0087625,           0.0087625
                  27,            0.048643,            0.016008,            0.024117,             0.60039,                 0.8,             0.72895,             0.40525,            0.027563,           0.0055592,             0.01358,            0.008713,            0.008713,            0.008713
                  28,            0.049418,            0.015491,             0.02407,             0.58654,              0.7625,             0.72468,             0.45458,            0.023834,           0.0052312,            0.013251,           0.0086635,           0.0086635,           0.0086635
                  29,             0.04376,            0.015212,            0.023125,             0.56309,             0.73312,             0.68588,             0.38158,            0.029834,           0.0050877,            0.012758,            0.008614,            0.008614,            0.008614
                  30,            0.048797,            0.014746,            0.023081,             0.64178,             0.77805,             0.73637,             0.40133,            0.028867,           0.0050206,            0.012336,           0.0085645,           0.0085645,           0.0085645
                  31,            0.042218,            0.015114,            0.022096,             0.49892,             0.75668,             0.56364,              0.3285,            0.030802,           0.0048415,            0.012077,            0.008515,            0.008515,            0.008515
                  32,            0.050349,            0.014701,            0.021395,             0.54093,             0.80103,             0.68121,             0.42964,            0.026846,           0.0047806,            0.011568,           0.0084655,           0.0084655,           0.0084655
                  33,            0.042935,            0.014659,            0.021594,             0.78994,               0.875,             0.91901,             0.56236,            0.025746,           0.0048878,            0.010894,            0.008416,            0.008416,            0.008416
                  34,            0.043006,            0.017662,            0.019704,             0.63928,             0.81357,             0.81933,             0.53799,            0.021204,           0.0051196,            0.010511,           0.0083665,           0.0083665,           0.0083665
                  35,            0.041267,            0.013899,            0.024458,             0.82819,              0.9316,             0.93447,             0.63429,            0.016548,           0.0054143,             0.01045,            0.008317,            0.008317,            0.008317
                  36,            0.037935,            0.012513,            0.017643,             0.53926,             0.89226,             0.75177,             0.44159,            0.031226,           0.0051727,           0.0080553,           0.0082675,           0.0082675,           0.0082675
                  37,            0.042915,            0.013687,            0.015889,             0.66859,             0.84239,             0.84221,              0.5298,            0.023847,           0.0051427,           0.0070391,            0.008218,            0.008218,            0.008218
                  38,            0.045559,            0.015507,            0.019195,             0.73671,             0.81428,             0.87797,             0.58512,            0.022104,           0.0050757,           0.0070398,           0.0081685,           0.0081685,           0.0081685
                  39,            0.039906,            0.013291,             0.01585,              0.6108,              0.9125,             0.79349,             0.54228,            0.022702,            0.004986,           0.0059114,            0.008119,            0.008119,            0.008119
