               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10817,            0.015351,            0.074592,           0.0082973,             0.55398,           0.0078464,             0.00176,            0.099187,            0.012789,            0.071368,              0.0883,              0.0013,              0.0013
                   1,            0.085252,            0.021405,            0.063622,            0.010125,             0.95455,            0.023599,           0.0054776,             0.06155,            0.015293,             0.05716,            0.075689,           0.0026893,           0.0026893
                   2,            0.075266,            0.023812,            0.050524,             0.15829,             0.75284,             0.31521,            0.094374,            0.059094,            0.014258,            0.041061,            0.063068,           0.0040675,           0.0040675
                   3,            0.071254,            0.018974,            0.039782,              0.1075,             0.55398,             0.10011,            0.025431,              0.0647,            0.011697,            0.041475,            0.050435,           0.0054347,           0.0054347
                   4,            0.070546,            0.018856,            0.035101,             0.12863,              0.7017,             0.16973,             0.05358,            0.064026,             0.01192,            0.040539,            0.037791,           0.0067907,           0.0067907
                   5,            0.070154,            0.020041,            0.033821,             0.31627,             0.46875,             0.34774,             0.12412,            0.069703,            0.010945,            0.035424,            0.025136,           0.0081357,           0.0081357
                   6,             0.07453,            0.016658,            0.033274,             0.27584,             0.57102,             0.31896,            0.099553,            0.058991,           0.0095657,             0.03323,             0.01247,           0.0094695,           0.0094695
                   7,            0.068163,            0.017612,             0.03246,             0.24895,             0.71307,             0.29331,            0.067078,            0.060979,           0.0086579,            0.031158,           0.0097228,           0.0097228,           0.0097228
                   8,            0.067485,            0.015876,            0.032168,             0.43379,              0.8035,             0.48926,             0.14475,            0.047684,           0.0090962,            0.030171,           0.0097228,           0.0097228,           0.0097228
                   9,            0.061395,            0.016509,             0.03101,             0.40704,             0.77557,             0.46573,             0.14245,            0.059386,            0.008489,             0.03141,           0.0096832,           0.0096832,           0.0096832
                  10,            0.061122,            0.016078,            0.030335,              0.2396,             0.77991,             0.32911,             0.10739,            0.055075,           0.0082437,            0.032233,           0.0096436,           0.0096436,           0.0096436
                  11,            0.055944,            0.014647,            0.030878,             0.25977,              0.7152,             0.36301,            0.083898,             0.05488,           0.0075614,            0.032766,            0.009604,            0.009604,            0.009604
                  12,             0.05558,            0.014045,            0.031244,             0.27703,             0.75526,             0.34903,             0.12981,            0.045623,           0.0079153,            0.033148,           0.0095644,           0.0095644,           0.0095644
                  13,            0.051716,            0.014047,            0.030172,              0.2627,             0.78977,             0.37463,             0.14729,            0.044855,           0.0075351,            0.032557,           0.0095248,           0.0095248,           0.0095248
                  14,            0.053014,            0.014172,            0.029607,             0.40792,             0.63352,             0.51343,             0.20713,            0.046388,           0.0068422,            0.032988,           0.0094852,           0.0094852,           0.0094852
                  15,            0.053103,            0.013077,            0.030011,              0.4418,             0.97727,             0.49021,             0.25741,            0.040572,           0.0066152,             0.03364,           0.0094456,           0.0094456,           0.0094456
                  16,            0.050175,            0.012966,            0.029645,             0.43146,             0.94985,             0.48604,             0.24992,            0.030872,           0.0063093,            0.032759,            0.009406,            0.009406,            0.009406
                  17,             0.04769,            0.013085,            0.030332,             0.47673,             0.96875,             0.55101,             0.27755,            0.036412,           0.0060779,            0.031526,           0.0093664,           0.0093664,           0.0093664
                  18,            0.045243,            0.012459,            0.029538,             0.45586,                   1,             0.53141,             0.24326,            0.039095,           0.0064612,            0.031584,           0.0093268,           0.0093268,           0.0093268
                  19,            0.044201,            0.012303,            0.029458,             0.27318,                   1,             0.44897,             0.26987,            0.034456,           0.0063009,            0.032202,           0.0092872,           0.0092872,           0.0092872
                  20,             0.04493,            0.011738,            0.028543,             0.47505,                   1,             0.53101,             0.18516,             0.03969,           0.0061431,            0.032464,           0.0092476,           0.0092476,           0.0092476
                  21,            0.041784,            0.011474,            0.029143,             0.24188,                   1,             0.37324,             0.20108,            0.037298,            0.005809,            0.031773,            0.009208,            0.009208,            0.009208
                  22,             0.04196,            0.011916,            0.029395,             0.43654,                   1,             0.47097,             0.30224,            0.028877,           0.0060357,            0.031991,           0.0091684,           0.0091684,           0.0091684
                  23,             0.04188,            0.011027,            0.028377,             0.43351,                   1,             0.47439,             0.28136,            0.028484,           0.0056762,            0.031935,           0.0091288,           0.0091288,           0.0091288
                  24,            0.037075,            0.011493,              0.0287,             0.30642,                   1,                0.43,             0.27627,            0.034975,           0.0059187,            0.029447,           0.0090892,           0.0090892,           0.0090892
                  25,            0.041468,            0.011512,            0.028108,             0.49517,                   1,             0.52225,             0.29284,            0.027778,           0.0055792,            0.030149,           0.0090496,           0.0090496,           0.0090496
                  26,            0.040054,            0.010223,              0.0285,             0.48986,                   1,             0.52316,             0.32047,            0.028476,           0.0054856,             0.03451,             0.00901,             0.00901,             0.00901
                  27,             0.03882,            0.010739,            0.028801,             0.49122,                   1,             0.52316,             0.37279,            0.026939,           0.0054213,            0.033723,           0.0089704,           0.0089704,           0.0089704
                  28,            0.040086,            0.011072,            0.027651,              0.4946,                   1,             0.51792,             0.37303,            0.024588,           0.0053529,            0.032737,           0.0089308,           0.0089308,           0.0089308
                  29,            0.038836,            0.010207,            0.027333,              0.4496,                   1,              0.4867,             0.35168,            0.025918,           0.0053031,            0.033127,           0.0088912,           0.0088912,           0.0088912
                  30,            0.036961,             0.01035,            0.028105,             0.39013,                   1,             0.46603,             0.25403,            0.033098,           0.0053423,            0.034876,           0.0088516,           0.0088516,           0.0088516
                  31,            0.037348,            0.010048,             0.02677,             0.49647,                   1,             0.50102,             0.29131,            0.027383,           0.0055457,            0.036245,            0.008812,            0.008812,            0.008812
                  32,              0.0359,             0.00977,            0.026118,             0.45399,                   1,             0.47182,             0.27791,            0.030688,           0.0053132,            0.038695,           0.0087724,           0.0087724,           0.0087724
                  33,            0.039577,            0.010639,            0.025418,             0.49696,                   1,              0.4975,             0.35975,            0.022067,           0.0050574,            0.042288,           0.0087328,           0.0087328,           0.0087328
                  34,            0.034449,            0.010519,            0.025265,             0.49703,                   1,             0.50316,             0.25878,            0.029919,           0.0051995,            0.042982,           0.0086932,           0.0086932,           0.0086932
                  35,            0.036602,            0.010954,            0.024144,             0.49588,                   1,              0.4975,             0.32687,            0.023359,           0.0051481,            0.048201,           0.0086536,           0.0086536,           0.0086536
                  36,            0.034358,           0.0094539,            0.025412,             0.36458,                   1,             0.39743,             0.25334,            0.028934,           0.0053143,            0.050491,            0.008614,            0.008614,            0.008614
                  37,            0.034443,            0.010251,            0.023937,             0.46028,                   1,             0.46492,             0.29223,            0.026236,           0.0051845,            0.051266,           0.0085744,           0.0085744,           0.0085744
                  38,            0.036508,            0.010408,            0.024864,             0.46894,                   1,             0.53739,             0.35991,            0.025939,           0.0051697,            0.044016,           0.0085348,           0.0085348,           0.0085348
                  39,            0.033469,           0.0098545,            0.023536,             0.49111,                   1,             0.52487,             0.30618,             0.02792,           0.0051987,            0.042846,           0.0084952,           0.0084952,           0.0084952
                  40,            0.033471,            0.010153,             0.02305,             0.32424,             0.96875,             0.52093,             0.27147,            0.029455,           0.0054979,            0.040267,           0.0084556,           0.0084556,           0.0084556
                  41,            0.038331,           0.0096846,            0.022992,              0.4951,                   1,             0.57464,             0.30542,            0.025314,           0.0053797,            0.040547,            0.008416,            0.008416,            0.008416
                  42,            0.033335,           0.0098056,            0.019812,             0.49073,                   1,              0.5743,             0.29645,            0.025974,           0.0057174,            0.039785,           0.0083764,           0.0083764,           0.0083764
                  43,             0.03417,            0.010502,             0.02226,             0.51439,              0.8995,             0.63104,               0.385,            0.021081,           0.0052393,            0.033718,           0.0083368,           0.0083368,           0.0083368
                  44,            0.032407,            0.010223,             0.02248,              0.4726,                   1,             0.58411,             0.29645,            0.029181,           0.0054248,            0.043651,           0.0082972,           0.0082972,           0.0082972
