               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11381,            0.015021,            0.045507,           0.0029363,               0.825,           0.0060776,            0.001432,            0.066646,            0.010466,            0.029538,               0.091,               0.001,               0.001
                   1,            0.087526,            0.018793,            0.042701,           0.0032895,             0.96875,            0.017672,           0.0043858,            0.052637,             0.01203,            0.027374,             0.08109,           0.0020896,           0.0020896
                   2,            0.078355,            0.023307,            0.040468,            0.002775,               0.825,            0.039505,            0.012665,            0.046194,              0.0122,            0.025503,            0.071168,           0.0031683,           0.0031683
                   3,            0.062794,            0.023411,            0.036164,             0.61421,             0.17708,              0.1185,            0.041734,            0.039673,            0.011643,            0.024376,            0.061236,           0.0042361,           0.0042361
                   4,            0.061687,            0.022604,            0.035062,             0.66342,             0.34462,             0.20152,            0.058831,             0.04163,            0.010682,            0.025023,            0.051293,           0.0052931,           0.0052931
                   5,            0.061262,            0.021017,            0.033874,             0.62325,             0.30208,             0.17919,             0.04154,            0.045356,           0.0098604,            0.025061,            0.041339,           0.0063391,           0.0063391
                   6,            0.056853,            0.019713,            0.037552,             0.61625,             0.34375,             0.16869,            0.071548,            0.043689,            0.010281,            0.024636,            0.031374,           0.0073743,           0.0073743
                   7,            0.057167,            0.016964,             0.03371,             0.56813,             0.39101,             0.12148,            0.048183,            0.049566,           0.0089969,            0.025124,            0.021399,           0.0083985,           0.0083985
                   8,            0.057903,            0.018143,            0.034289,             0.57794,             0.41667,             0.10701,            0.045554,            0.048814,           0.0082329,            0.024918,            0.011412,           0.0094119,           0.0094119
                   9,            0.055523,            0.017655,            0.035671,             0.60876,             0.35417,             0.15876,            0.040097,             0.04438,            0.007036,            0.024302,           0.0095545,           0.0095545,           0.0095545
                  10,            0.053089,            0.017657,            0.034483,             0.63496,             0.41667,             0.21643,            0.087386,            0.031851,           0.0069859,             0.02424,           0.0095545,           0.0095545,           0.0095545
                  11,            0.049445,            0.017576,            0.035562,             0.63448,             0.30208,             0.16467,            0.069991,            0.046104,           0.0068367,              0.0242,            0.009505,            0.009505,            0.009505
                  12,            0.046381,            0.016312,            0.034041,             0.69079,             0.18266,             0.18757,            0.074112,            0.045054,           0.0060772,            0.023787,           0.0094555,           0.0094555,           0.0094555
                  13,            0.046225,            0.014919,            0.033349,             0.68822,             0.38542,             0.30712,             0.13063,            0.028906,           0.0059781,            0.023286,            0.009406,            0.009406,            0.009406
                  14,            0.040932,            0.013684,            0.034004,             0.68199,             0.45833,             0.30263,             0.13513,             0.02823,           0.0053497,            0.023738,           0.0093565,           0.0093565,           0.0093565
                  15,            0.043769,            0.013943,            0.032975,             0.68096,             0.33333,             0.30792,              0.1723,            0.027666,           0.0057598,            0.023458,            0.009307,            0.009307,            0.009307
                  16,            0.042966,            0.013778,            0.031211,             0.73419,             0.46893,             0.36302,             0.18965,            0.024168,           0.0058204,            0.023236,           0.0092575,           0.0092575,           0.0092575
                  17,            0.040969,            0.011817,            0.032666,             0.72592,             0.39583,             0.54388,             0.28785,            0.024541,           0.0059308,            0.022701,            0.009208,            0.009208,            0.009208
                  18,            0.037645,            0.012501,            0.033254,             0.71394,             0.45647,             0.47592,             0.20433,            0.024615,           0.0048255,            0.021756,           0.0091585,           0.0091585,           0.0091585
                  19,            0.041392,            0.012389,             0.03142,             0.73852,              0.4375,             0.45352,             0.21788,             0.02477,           0.0049416,            0.021215,            0.009109,            0.009109,            0.009109
                  20,            0.042113,            0.011312,            0.031639,             0.74133,             0.48728,             0.54773,             0.28809,            0.025977,           0.0046876,            0.021161,           0.0090595,           0.0090595,           0.0090595
                  21,            0.039619,            0.011185,            0.031301,             0.72661,             0.45999,             0.60944,              0.3571,            0.022427,           0.0046641,            0.020696,             0.00901,             0.00901,             0.00901
                  22,            0.038475,            0.012339,            0.031471,             0.35308,             0.85819,             0.62958,             0.35855,            0.020759,           0.0046666,            0.020315,           0.0089605,           0.0089605,           0.0089605
                  23,            0.036252,            0.011787,             0.03108,             0.40478,             0.86365,             0.64175,             0.37557,             0.01821,           0.0045738,            0.020052,            0.008911,            0.008911,            0.008911
                  24,             0.03669,            0.011702,            0.029839,             0.39262,             0.87465,             0.61453,             0.28802,             0.02294,           0.0045913,             0.01987,           0.0088615,           0.0088615,           0.0088615
                  25,            0.034781,             0.01063,            0.028912,             0.38846,                   1,             0.59476,             0.25716,            0.022148,           0.0044358,            0.019457,            0.008812,            0.008812,            0.008812
                  26,            0.035644,            0.010341,             0.02874,             0.46814,                0.95,             0.65855,             0.40508,            0.016532,           0.0038769,            0.019471,           0.0087625,           0.0087625,           0.0087625
                  27,            0.034681,            0.010619,            0.028575,             0.49155,              0.9687,             0.68132,             0.40204,            0.019219,           0.0041333,            0.019192,            0.008713,            0.008713,            0.008713
                  28,            0.034618,           0.0099301,            0.029871,             0.49892,             0.96857,              0.7345,             0.51001,            0.017817,           0.0038695,            0.018877,           0.0086635,           0.0086635,           0.0086635
                  29,            0.031887,            0.009796,            0.027216,             0.49024,                0.95,             0.67408,             0.33085,            0.021906,           0.0040638,            0.018625,            0.008614,            0.008614,            0.008614
                  30,            0.031099,           0.0098975,            0.026836,             0.51228,             0.87996,             0.70089,             0.47604,            0.016187,           0.0038381,            0.018417,           0.0085645,           0.0085645,           0.0085645
